nav.bi|Analytics
dash.sessionsActivesKpi|Sessions actives ce semestre
dash.diplomesEnAttente|Diplômes en attente
dash.enCoursValidation|En cours de validation
dash.soutenancesPlanif|Soutenances planif.
dash.aVenirMois|À venir ce mois
dash.etudiantsActifsKpi|Étudiants actifs
dash.inscritsActifs|Inscrits et actifs
dash.employesActifsKpi|Employés actifs
dash.personnelPoste|Personnel en poste
dash.enConge|En congé
dash.absencesCongesKpi|Absences & congés
dash.totalPersonnel|Total personnel
dash.tousStatuts|Tous statuts confondus
dash.revenusScolaires|Revenus scolaires
dash.impayesScolarite|Impayés scolarité
dash.facturesPayees|Factures payées
dash.ceMoisCi|Ce mois-ci
dash.facturesAttente|Factures en attente
dash.rupturesStock|Ruptures de stock
dash.alertesStock|Alertes stock
dash.dansEquipe|Dans votre équipe
dash.refsInventoriees|Références inventoriées
dash.aTraiter|À traiter
dash.actifs|actifs
dash.suspendus|suspendus
dash.paiementsMois|paiements ce mois
dash.enAttentePmt|FCFA en attente
dash.articleEpuise|article épuisé
dash.articlesEpuises|articles épuisés
dash.newInscription|Nouvelle inscription
dash.lastFactures|dernières factures
dash.academicView|Vue académique — accès financier restreint
dash.paymentsPaid|Paiements reçus
dash.paymentsPending|Paiements en attente
dash.vsMoisDernier|vs mois dernier
dash.dossier|dossier
dash.dossiers|dossiers
dash.statut|Statut
dash.actionsFrequentes|Actions fréquentes
roles.daac_full|Direction des Affaires Académiques
roles.scolarite_full|Service Scolarité
roles.raf_full|Responsable Administratif & Financier
roles.rhPaie_full|Ressources Humaines & Paie
roles.formateur_full|Espace Formateur
roles.etudiant_full|Espace Étudiant
roles.parent_full|Espace Parent
invoice.lbl.payee|PAYÉE
invoice.lbl.envoyee|ENVOYÉE
invoice.lbl.brouillon|BROUILLON
invoice.lbl.annulee|ANNULÉE
nav.scolarite|Scolarité
nav.rhPaie|RH & Paie
sc.newEnrollment|Nouvelle inscription
sc.trainerSpace|Espace Formateur
sc.generalDir|Direction
sc.miaaIA|MIAA+ IA
sc.cashierPOS|Caisse POS
sc.kitchenStock|Stock cuisine
sc.miaaPlus|MIAA+
sc.rayonsStock|Rayons & Stock
sc.fleet|Flotte
sc.chauffeurs|Chauffeurs
sc.reservations|Réservations
sc.consultations|Consultations
sc.pharmacie|Pharmacie
sc.rhMedical|RH médical
sc.rhShort|RH
sc.stockShort|Stock
sc.comptaOhada|Comptabilité OHADA
sc.matieres|Matières
sc.sessions|Sessions
sc.examens|Examens
sc.diplomes|Diplômes
sc.soutenances|Soutenances
sc.budgets|Budgets
sc.paie|Paie
sc.employes|Employés
sc.contrats|Contrats
sc.paiements|Paiements
sc.mesCours|Mes cours
sc.presences|Présences
sc.mesNotes|Mes notes
sc.resultats|Résultats
sc.contact|Contact
sc.caisse|Caisse
sc.classes|Classes
sc.absences|Absences
sc.departements|Départements
sc.etudiants|Étudiants
sc.inscriptions|Inscriptions
sc.planning|Planning
sc.bulletins|Bulletins
sc.d.newEnrollment|Inscrire un étudiant
sc.d.trainerSpace|Cours & heures
sc.d.generalDir|Finances & pilotage
sc.d.rhPaie|Gestion du personnel
sc.d.comptaOhada|Journal & bilan
sc.d.miaaIA|Assistant scolaire IA
sc.d.cashierPOS|Ouvrir la caisse
sc.d.kitchenStock|Inventaire & alertes
sc.d.tresoSuivi|Suivi des finances
sc.d.depenses|Charges & sorties
sc.d.miaaPlus|Assistant IA
sc.d.facturation|Devis & factures
sc.d.stock|Inventaire
sc.d.achats|Fournisseurs
sc.d.rh|Personnel
sc.d.comptabilite|OHADA
sc.d.caisse|Ventes
sc.d.fleet|Véhicules & courses
sc.d.chauffeurs|RH & Paie
sc.d.finances|Finances
sc.d.reservations|Chambres & séjours
sc.d.facturationDevis|Factures & devis
sc.d.consultations|Ordonnances & actes
sc.d.pharmacie|Médicaments
sc.d.rhMedical|Personnel soignant
sc.d.matieres|Programmes & UE
sc.d.sessions|Sessions actives
sc.d.examens|Notes & résultats
sc.d.diplomes|En attente
sc.d.soutenances|Planifiées
sc.d.parametresAcad|Règles LMD
sc.d.comptaJournal|Journal OHADA
sc.d.tresoWallets|Wallets & virements
sc.d.budgets|Suivi budgétaire
sc.d.paie|Bulletins de paie
sc.d.depensesSorties|Sorties de fonds
sc.d.employes|Gestion du personnel
sc.d.contrats|CDD/CDI
sc.d.absencesConges|Congés & absences
sc.d.departements|Organigramme
sc.d.etudiants|Gestion des étudiants
sc.d.inscriptions|Nouvelles inscriptions
sc.d.paiementsScol|Frais de scolarité
sc.d.classes|Gestion des classes
sc.d.mesCours|Modules enseignés
sc.d.presences|Appel & absences
sc.d.notes|Saisie des notes
sc.d.mesClasses|Mes classes
sc.d.deliberations|Délibérations
sc.d.mesNotes|Résultats & moyennes
sc.d.bulletins|Bulletins de note
sc.d.fraisQuittances|Frais & quittances
sc.d.mesAbsences|Mes absences
sc.d.planning|Emploi du temps
sc.d.fraisScolarite|Frais de scolarité
crm.subtitle|Relations clients & prospects
crm.newClient|Nouveau client
crm.searchPlaceholder|Rechercher un client, email, téléphone…
crm.noClient|Aucun client trouvé
crm.activeClients|Clients actifs
crm.prospects|Prospects
crm.inactiveClients|Clients inactifs
crm.caGenerated|CA généré
crm.allClients|Tous les clients
crm.typeClient|Client
crm.typeProspect|Prospect
crm.typeInactif|Inactif
crm.newClientTitle|Nouveau client / prospect
crm.fullName|Nom complet *
crm.company|Entreprise
crm.typeLabel|Type
crm.typeClientActif|Client actif
crm.inactifs|Inactifs
clients.title|Clients
clients.subtitle|clients enregistrés
clients.newClient|Nouveau client
clients.totalClients|Total clients
clients.inBase|Dans votre base
clients.newThisMonth|Nouveaux ce mois
clients.withEmail|Avec email
clients.contactByEmail|Contactables par mail
clients.searchPlaceholder|Rechercher un client…
clients.noClients|Aucun client encore
clients.addFirst|Ajoutez votre premier client pour commencer.
clients.addClient|Ajouter un client
clients.noSearchResult|Aucun client ne correspond à cette recherche.
clients.contact|Contacter
clients.deleteConfirm|Supprimer ce client ?
clients.deleteWarning|Cette action est irréversible.
clients.formTitle|Nouveau client
clients.fullName|Nom complet / Entreprise *
clients.address|Adresse
clients.addressPlaceholder|Adresse complète
clients.addBtn|Ajouter
clients.errorPrefix|Erreur : 
clients.addedMsg|Client ajouté !
clients.deletedMsg|Client supprimé.
roles.subtitle|RBAC Enterprise — 6 actions : voir · modifier · supprimer · exporter · valider · approuver
roles.defaultRoles|Rôles par défaut
roles.newRole|Nouveau rôle
roles.tabRoles|Rôles
roles.tabPermissions|Permissions
roles.tabMembers|Membres
roles.tabHistory|Historique
roles.financial|Financier
roles.viewPermissions|Voir permissions →
roles.noRole|Aucun rôle — utilisez "Rôles par défaut" pour commencer
roles.selectRole|Sélectionnez un rôle pour voir sa matrice
roles.customRole|Rôle personnalisé
roles.filterModules|Filtrer modules...
roles.modules|modules
roles.noMember|Aucun membre
roles.rbacJournal|Journal RBAC
roles.noEvent|Aucun événement enregistré
roles.nameLabel|Nom *
roles.colorLabel|Couleur
roles.financialAccess|Accès aux données financières
roles.createConfirm|Créer les 8 rôles par défaut Oraforme ?
roles.baseRole|Base:
equipe.subtitle|Gérez les accès et permissions de chaque membre.
equipe.inviteMember|Inviter un membre
equipe.membersCount|Membres
equipe.selectMember|Sélectionnez un membre pour gérer ses permissions.
equipe.ownerAccess|Le propriétaire a accès à tous les modules.
equipe.moduleAccess|Accès aux modules
equipe.savePerms|Enregistrer les permissions
equipe.inviteEmail|Email
equipe.inviteRole|Rôle
equipe.inviteSend|Envoyer
equipe.roleAdmin|Administrateur
equipe.roleMembre|Membre
equipe.roleBusiness|— Rôle métier —
equipe.inviteModal|Inviter un membre
stock.inventaire|Stocks & Inventaire
stock.updatedAt|Mis à jour
stock.immediateAction|Action immédiate recommandée
stock.seeAlerts|Voir les alertes →
stock.lowStockKpi|Stock faible
stock.rupturesKpi|Ruptures stock
stock.movementsMonth|Mouvements/mois
stock.suppliersKpi|Fournisseurs
stock.purchasesMonth|Achats ce mois
stock.warehouses|Entrepôts
stock.criticalProducts|Produits critiques
stock.noStockAlert|Aucune alerte stock
stock.threshold|Seuil:
stock.rupture|RUPTURE
stock.faible|FAIBLE
stock.recentMovements|Mouvements récents
stock.noRecentMovement|Aucun mouvement récent
stock.quickAccess|Accès rapide
stock.qa.products|Produits
stock.qa.purchases|Achats
stock.qa.movements|Mouvements
stock.qa.inventories|Inventaires
stock.qa.suppliers|Fournisseurs
stock.qa.orders|Commandes
stock.qa.valuation|Valorisation
stock.qa.alerts|Alertes Stock
params.title|Paramètres
params.saved|Enregistré !
params.save|Enregistrer
params.saveParams|Enregistrer les paramètres
params.yourCompany|Votre entreprise
params.uploadLogo|Uploader un logo
params.changeLogo|Changer le logo
params.uploading|Upload en cours…
params.logoFormats|PNG, JPG, WEBP ou SVG · max 2 Mo
params.address|Adresse
params.city|Ville
params.country|Pays
params.phone|Téléphone
params.email|Email
params.legal|Pied de page facture — Informations légales
params.socialCapital|Capital social
params.rib|RIB / Coordonnées bancaires (Payment Method)
params.thankMsg|Message "Merci" affiché en bas de chaque facture
params.billingPrefs|Préférences facturation
params.invoicePrefix|Préfixe N° facture
params.currency|Devise
params.paymentDelay|Délai de paiement
params.days|jours
params.costCenters|Centres de coûts
params.center|centre
params.centers|centres
params.noCostCenter|Aucun centre — créez-en un ci-dessous
params.addCenter|Ajouter un centre
params.codePlaceholder|Code (RH…)
params.centerName|Nom du centre
params.fiscalTitle|Logique fiscale Congo-Brazzaville
params.saveError|Erreur de sauvegarde :
params.cc.direction|Direction générale
params.cc.rh|Ressources humaines
params.cc.scolarite|Scolarité
params.cc.informatique|Informatique
params.cc.logistique|Logistique
params.cc.commercial|Commercial
params.cc.finance|Finance & Compta
params.cc.autre|Autre
params.scien|Numéro SCIEN
params.uploadFailed|Upload échoué :
params.logoSavedError|Logo uploadé mais non sauvegardé :
params.tenantNotLoaded|Tenant non chargé
profil.title|Profil Entreprise
profil.subtitle|Informations, marque et coordonnées
profil.logoUrl|URL Logo
profil.website|Site web
profil.description|Description
profil.descPlaceholder|Décrivez votre activité en quelques mots…
profil.contact|Coordonnées
profil.emailContact|Email contact
profil.telephone|Téléphone
profil.address|Adresse
profil.city|Ville
profil.country|Pays
profil.currency|Devise
profil.updated|Profil mis à jour
profil.saving|Enregistrement…
profil.save|Sauvegarder
dir.title|Direction Générale
dir.subtitle|Pilotage stratégique & tableaux de bord
dir.kpi.collected|Collecté
dir.kpi.charges|Charges du mois
dir.kpi.grossMargin|Marge brute
dir.kpi.headcount|Effectif actif
dir.kpi.collaborators|Collaborateurs
dir.kpi.unpaidInvoices|Factures impayées
dir.kpi.toFollowUp|À relancer
dir.alerts.none|Aucune alerte — tous les indicateurs sont au vert
dir.alerts.unpaidFact|facture(s) impayée(s)
dir.alerts.critMargin|Marge brute critique (< 10%)
dir.alerts.noEmployee|Aucun employé enregistré
dir.quickAccess|Accès rapide
dir.financialSummary|Résumé financier du mois
dir.caTotal|CA total
dir.caCollecte|CA collecté
dir.charges|Charges
dir.margeBrute|Marge brute
dir.prevMonth|mois préc.
dir.ofCA|% du CA
dir.link.rh|RH & Paie
dir.link.finance|Finance
dir.link.compta|Comptabilité
dir.link.tresorerie|Trésorerie
dir.link.facturation|Facturation
dir.link.analytics|Analytics
analytics.title|Analytics & BI
analytics.subtitle|Intelligence économique · Exercice
analytics.loading|Chargement des analytics…
analytics.tab.financial|Finance
analytics.tab.rh|RH & Paie
analytics.tab.ecole|École
analytics.tab.stock|Stock
analytics.tab.auto|Automatisation
analytics.kpi.treso|Trésorerie nette
analytics.kpi.headcount|Effectif actif
analytics.kpi.stock|Stock
analytics.kpi.absences|Absences
analytics.kpi.onLeave|en congé
analytics.kpi.encaissements|Encaissements
analytics.kpi.decaissements|Décaissements
analytics.kpi.tresoNet|Trésorerie net
analytics.kpi.creances|Créances
analytics.kpi.employesActifs|Employés actifs
analytics.kpi.masseSal|Masse salariale
analytics.kpi.contratsExp|Contrats expirant
analytics.kpi.absRegistered|Absences enregistrées
analytics.kpi.recettesScol|Recettes scolarité
analytics.kpi.autoNotifs|Automation notifications
analytics.kpi.valeurStock|Valeur stock
analytics.kpi.ruptures|Ruptures
analytics.kpi.stockCritique|Stock critique
analytics.kpi.articlesOk|Articles OK
analytics.kpi.tasksDone|Tâches terminées
analytics.kpi.enAttente|En attente
analytics.kpi.erreurs|Erreurs
analytics.kpi.notifications|Notifications
analytics.chart.cashflow|Flux de trésorerie mensuel
analytics.chart.invoiceStatus|Statut factures
analytics.chart.automation|Automatisation
analytics.chart.activeAlerts|Alertes actives
analytics.chart.financialEvol|Évolution mensuelle — Facturation vs Trésorerie
analytics.chart.invoiceStatus2|Statut des factures
analytics.chart.kpi|Indicateurs clés
analytics.chart.rhEvol|Évolution masse salariale mensuelle
analytics.chart.rhRep|Répartition effectif
analytics.chart.absMonth|Absences par mois
analytics.chart.scolMonth|Recettes scolarité par mois
analytics.chart.topArticles|Top articles par valeur
analytics.chart.stockHealth|Santé du stock
analytics.chart.automTasks|État des tâches planifiées
analytics.auto.engineSub|Contrats expirants · Factures impayées · Alertes stock
analytics.auto.run|Lancer maintenant
analytics.auto.running|Vérification en cours…
analytics.auto.runShort|Lancer les vérifications
analytics.auto.runningShort|Vérification…
analytics.sub.total|total
analytics.sub.exercice|exercice
analytics.sub.dans30j|dans 30 jours
analytics.sub.artEpuises|articles épuisés
analytics.sub.sousSeuil|sous le seuil min
analytics.sub.stockSuffisant|en stock suffisant
analytics.sub.aTraiter|à traiter
analytics.sub.tasksFailed|tâches échouées
analytics.sub.paiementsRecus|paiements reçus
analytics.sub.nbArticles|articles
analytics.sub.unites|unités
analytics.sub.nonLues|non lue(s)
analytics.alert.contratsExp|contrat(s) expirant dans 30 jours
analytics.alert.rupture|article(s) en rupture de stock
analytics.alert.critique|article(s) en stock critique
analytics.alert.creances|Créances clients
analytics.alert.notifsUnread|notification(s) non lue(s)
analytics.alert.none|Aucune alerte active
analytics.alert.noInvoice|Aucune facture
analytics.alert.noTask|Aucune tâche planifiée
analytics.alert.noArticle|Aucun article en stock
analytics.alert.noArticle2|Aucun article
analytics.lbl.actifs|Actifs
analytics.lbl.enConge|En congé
analytics.lbl.autres|Autres
analytics.lbl.enStock|En stock
analytics.lbl.critique|Critique
analytics.lbl.rupture|Rupture
analytics.lbl.terminees|Terminées
analytics.lbl.erreurs|Erreurs
analytics.lbl.enAttente|En attente
analytics.lbl.txPaiement|Taux de paiement
analytics.lbl.facturesPay|Factures payées
analytics.lbl.recettesScol|Recettes scolarité
analytics.lbl.contratsExp|Contrats expirants
analytics.lbl.facturesRetard|Factures en retard
analytics.lbl.stockCritique|Stock critique
analytics.lbl.nonPayees|non payées
analytics.lbl.areapprouv|à réapprovisionner
analytics.lbl.collaborateurs|collaborateurs
analytics.verif.done|Vérifications terminées
analytics.verif.contracts|contrat(s) alerté(s)
analytics.verif.invoices|facture(s) en retard traitée(s)
analytics.verif.error|Erreur
analytics.verif.unknown|inconnue
dep.title|Dépenses & Charges
dep.subtitle|Suivi de toutes vos dépenses par catégorie
dep.newDepense|Dépense
dep.period7|7 jours
dep.period30|30 jours
dep.period90|90 jours
dep.kpi.total|Total période
dep.kpi.biggest|Plus grosse dépense
dep.kpi.avgDay|Moyenne par jour
dep.kpi.vsPrev|Vs période préc.
dep.chart.byCat|Répartition par catégorie
dep.chart.topCat|Top catégories
dep.list.title|Liste des dépenses
dep.list.empty|Aucune dépense sur la période
dep.list.count|dépense
dep.list.countPl|dépenses
dep.modal.title|Nouvelle dépense
dep.modal.category|Catégorie
dep.modal.description|Description
dep.modal.descPlaceholder|Description de la dépense...
dep.modal.amount|Montant (FCFA)
dep.modal.date|Date
dep.modal.payMode|Mode de paiement
dep.modal.costCenter|Centre de coût (facultatif)
dep.modal.noCostCenter|— Aucun centre —
dep.modal.refPiece|Réf. pièce (facultatif)
dep.modal.refPlaceholder|Ex: FAC-2025-001, BON-42...
dep.modal.ohadaTitle|Écriture OHADA (auto-calculée)
dep.modal.debit|Débit
dep.modal.credit|Crédit
dep.modal.save|Enregistrer
dep.deleteConfirm|Supprimer cette dépense et la transaction associée ?
achats.pageTitle|Achats & Fournisseurs
achats.tabFournisseurs|Fournisseurs
achats.tabAchats|Achats
achats.tabDettes|Dettes
achats.fournisseurSg|fournisseur
achats.fournisseurPl|fournisseurs
achats.dettesLabel|Dettes :
achats.btnFournisseur|Fournisseur
achats.btnAchat|Achat
achats.noFournisseur|Aucun fournisseur — ajoutez-en un
achats.du|dû
achats.colDate|Date
achats.colDescription|Description
achats.colFournisseur|Fournisseur
achats.colMontant|Montant
achats.colStatut|Statut
achats.noAchat|Aucun achat enregistré
achats.totalNonPaye|Total non payé
achats.payer|Payer
achats.noDette|Aucune dette fournisseur !
achats.achatsJour|Tous vos achats sont à jour
achats.achatSg|achat
achats.achatPl|achats
achats.impayeSg|impayé
achats.impayePl|impayés
achats.toutPayer|Tout payer —
achats.newFournisseur|+ Nouveau fournisseur
achats.newAchat|+ Nouvel achat
achats.nomLabel|Nom *
achats.contactLabel|Contact
achats.telephoneLabel|Téléphone
achats.emailLabel|Email
achats.nomPlaceholder|Nom du fournisseur
achats.contactPlaceholder|Personne de contact
achats.fournisseurLabel|Fournisseur
achats.sansFournisseur|Sans fournisseur
achats.descriptionLabel|Description *
achats.centreCout|Centre de coût (facultatif)
achats.aucunCentre|— Aucun centre —
achats.montantLabel|Montant (FCFA) *
achats.dateLabel|Date
achats.statut.impaye|Impayé
achats.statut.partiel|Partiel
achats.statut.paye|Payé
audit.title|Audit & Logs Système
audit.subtitle|Traçabilité complète de toutes les opérations
audit.refresh|Actualiser
audit.exportCsv|Export CSV
audit.kpi.week|Cette semaine
audit.kpi.movements|Mvts stocks
audit.kpi.transactions|Transactions
audit.kpi.purchases|Achats
audit.kpi.invoices|Factures
audit.search|Rechercher...
audit.filterAll|Tous
audit.entries|entrées
audit.page|Page
audit.noActivity|Aucune activité trouvée
audit.searchPlh|Rechercher un événement…
audit.noEvents|Aucun événement
audit.export|Exporter
audit.colDate|Date
audit.colUser|Utilisateur
audit.colAction|Action
audit.colModule|Module
audit.colDetails|Détails
audit.colNiveau|Niveau
audit.colEntite|Entité
audit.levelInfo|Info
audit.levelWarning|Attention
audit.levelCritical|Critique
audit.levelError|Erreur
audit.ancien|Avant
audit.nouveau|Après
audit.expand|Voir détails
audit.collapse|Réduire
acad.title|Paramètres académiques
acad.subtitle|Règles LMD, mentions, compensation & rattrapage
acad.save|Enregistrer
acad.saving|Enregistrement…
acad.saveParams|Enregistrer les paramètres
acad.saved|Paramètres académiques sauvegardés
acad.tabGeneral|Général
acad.tabMentions|Mentions
acad.tabLMD|Règles LMD
acad.tabCompensation|Compensation & Rattr.
acad.sysLabel|Système pédagogique
acad.sysClassique|Classique
acad.sysClassiqueDesc|Notes sur 20, trimestres ou semestres, sans crédits ECTS
acad.sysLMD|LMD
acad.sysLMDDesc|Licence–Master–Doctorat avec crédits ECTS et UE
acad.sysHybride|Hybride
acad.sysHybrideDesc|Mélange classique + LMD selon le niveau des étudiants
acad.bareme|Barème de notation
acad.sur|Sur
acad.baremeDesc100|Les notes sont saisies sur 100. Les moyennes sont converties sur 20 pour les rapports.
acad.baremeDesc20|Notation standard sur 20 points.
acad.addMention|Ajouter une mention
acad.apercu|Aperçu (ordre appliqué)
acad.validationAvg|Moyennes de validation
acad.validUE|Validation UE
acad.validSemestre|Validation semestre
acad.validSemestreSub|Moyenne minimale pour valider le semestre
acad.validAnnee|Validation année
acad.validAnneeSub|Moyenne annuelle requise pour passer en année supérieure
acad.creditsECTS|Crédits ECTS
acad.creditsSemestre|Crédits par semestre
acad.creditsSemestreSub|Standard LMD : 30 crédits par semestre
acad.creditsAnnee|Crédits par année
acad.creditsAnneeSub|Standard LMD : 60 crédits par année
acad.compensation|Compensation
acad.compMatieres|Compensation entre matières
acad.compMatieresSub|Une bonne note dans une matière peut compenser une note insuffisante dans une autre
acad.compSemestre|Compensation entre semestres
acad.compSemestreSub|Le S2 peut compenser un S1 insuffisant si la moyenne globale est atteinte
acad.compAnnuelle|Compensation annuelle
acad.seuilComp|Seuil de compensation
acad.noteMinComp|Note minimale compensable
acad.rattrapage|Session de rattrapage
acad.seuilRattrapageSub|Moyenne minimale pour être admis à une session de rattrapage
acad.maxMatieres|Nb max matières en rattrapage
acad.conserverNote|Conserver la meilleure note
acad.colorChange|Changer la couleur
acad.newMention|Nouvelle mention
ged.title|GED Documents
ged.subtitle|Gestion électronique des documents
ged.tabActive|Documents actifs
ged.tabArchives|Archives
ged.addBtn|Ajouter document
ged.searchPlaceholder|Rechercher un document…
ged.noDocument|Aucun document
ged.noDocumentDesc|Ajoutez vos contrats, factures, documents RH et plus encore.
ged.addDocument|Ajouter un document
ged.modalTitle|Ajouter un document
ged.nomLabel|Nom du document *
ged.urlLabel|URL du fichier *
ged.categorieLabel|Catégorie
ged.typeLabel|Type
ged.saving|Enregistrement…
ged.addSubmit|Ajouter
ged.deleteConfirm|Supprimer ce document définitivement ?
miaa.badge|IA
miaa.subtitle|oraforme ERP · Spécialisé Congo-Brazzaville
miaa.newChat|Nouvelle conversation
miaa.typing|MIAA+ est en train d\
miaa.placeholder|Posez votre question à MIAA+… (Entrée pour envoyer)
miaa.capabilities|Capacités MIAA+
miaa.quickQuestions|Questions rapides
miaa.configTitle|Configuration
miaa.configModel|Modèle IA
miaa.configModelValue|Claude Haiku 4.5
miaa.configLang|Langue
miaa.configLangValue|Français 🇫🇷
miaa.configContext|Contexte
miaa.configContextValue|Congo-Brazzaville
miaa.configModules|Modules actifs
miaa.greetMorning|Bonjour
miaa.greetAfternoon|Bonne après-midi
miaa.greetEvening|Bonne soirée
miaa.greetWithCompany|Je suis **MIAA+**, votre assistant intelligent chez **{entreprise}**.\n\nJe peux vous aider avec :\n✓ Calculs fiscaux Congo (TVA, CA, CNSS, IRPP)\n✓ Gestion de votre facturation et comptabilité\n✓ RH, paie et obligations sociales\n✓ Toute question sur votre activité\n\nPosez-moi une question ou choisissez une suggestion ci-dessous.
miaa.greetNoCompany|Je suis **MIAA+**, l\
miaa.newConvWithCompany|Nouvelle conversation démarrée. Comment puis-je vous aider chez **{entreprise}** ?
miaa.newConvNoCompany|Nouvelle conversation. Comment puis-je vous aider ?
miaa.errorReply|Désolé, je n\
miaa.errorConnection|❌ Erreur de connexion. Vérifiez votre clé API dans .env.local.
miaa.cap.fiscal|Calculs fiscaux
miaa.cap.fiscalDesc|TVA 18%, CA 5%, CNSS, IRPP Congo
miaa.cap.analyse|Analyse de données
miaa.cap.analyseDesc|Indicateurs, tendances, comparaisons
miaa.cap.docs|Génération documents
miaa.cap.docsDesc|Factures, bulletins de paie, rapports
miaa.cap.alerts|Alertes intelligentes
miaa.cap.alertsDesc|Impayés, stock bas, échéances
miaa.cap.auto|Automatisation
miaa.cap.autoDesc|Workflows, relances, rappels
miaa.cap.multi|Multilingue
miaa.cap.multiDesc|Français, English, Lingala
miaa.quick.fiscal|🧮 Fiscal Congo
miaa.quick.facturation|📄 Facturation
miaa.quick.rh|👔 RH & Paie
miaa.quick.scolaire|🏫 Scolaire
miaa.uploadAnalyzing|Analyse du fichier en cours…
miaa.downloadTxt|Télécharger TXT
rapports.title|Rapports Financiers
rapports.subtitle|ERP · {entreprise} · {mois}
rapports.loading|Chargement des données…
rapports.tab.overview|Vue d\
rapports.tab.resultat|Compte de résultat
rapports.tab.bilan|Bilan
rapports.tab.flux|Flux de trésorerie
rapports.tab.tva|Rapport TVA
rapports.tab.miaa|Analyse MIAA+
rapports.kpi.recettes|Recettes totales
rapports.kpi.recettesSub|Encaissements exercice
rapports.kpi.charges|Charges totales
rapports.kpi.chargesSub|Toutes dépenses
rapports.kpi.resultat|Résultat net
rapports.kpi.tauxPaiement|Taux de paiement
rapports.detail.title|Détail financier — {annee}
rapports.detail.recettes|Recettes brutes
rapports.detail.achats|Achats & stock
rapports.detail.salaires|Masse salariale
rapports.detail.loyer|Charges locatives
rapports.detail.resultat|Résultat net
rapports.detail.facturesPaid|Factures payées
rapports.detail.employes|Employés
rapports.detail.margeNette|Marge nette
rapports.rh.title|Ressources Humaines
rapports.rh.effectif|Effectif
rapports.rh.salaires|Masse salariale
rapports.rh.cnss|Charges CNSS
rapports.exports.title|Exports
rapports.exports.pdf|Rapport PDF
rapports.exports.csv|Export CSV
rapports.exports.tva|Rapport TVA Congo
rapports.exports.soon|À venir
rapports.exports.tvaTab|Onglet TVA
rapports.resto.title|Restaurant — {annee}
rapports.resto.caTtc|CA TTC Restaurant
rapports.resto.caHt|CA HT
rapports.resto.tva|TVA collectée (18%)
rapports.resto.ca|CA (5% TVA)
rapports.cr.exercice|Exercice {annee} · OHADA / Plan comptable congolais
rapports.cr.produits|PRODUITS D\
rapports.cr.charges|CHARGES D\
rapports.cr.totalProduits|TOTAL PRODUITS
rapports.cr.totalCharges|TOTAL CHARGES
rapports.cr.benefice|BÉNÉFICE NET
rapports.cr.perte|PERTE NETTE
rapports.cr.exerciceLabel|EXERCICE {annee}
rapports.cr.margeNette|Marge nette
rapports.cr.prodRow|Produits
rapports.cr.chargesRow|Charges
rapports.cr.resultatRow|Résultat
rapports.bilan.subtitle|Bilan simplifié au 31/12/{annee} — OHADA
rapports.bilan.actif|ACTIF
rapports.bilan.tresorerie|Trésorerie (caisse + banque)
rapports.bilan.creances|Créances clients (à recevoir)
rapports.bilan.totalActif|TOTAL ACTIF
rapports.bilan.capitaux|CAPITAUX PROPRES
rapports.bilan.report|Report à nouveau (N-1)
rapports.bilan.exerciceRes|Résultat de l\
rapports.bilan.totalCapitaux|TOTAL CAPITAUX PROPRES
rapports.bilan.dettes|DETTES
rapports.bilan.fournisseurs|Fournisseurs (à payer)
rapports.bilan.dettesCnss|Dettes sociales (CNSS)
rapports.bilan.tvaReverser|TVA collectée à reverser
rapports.bilan.totalDettes|TOTAL DETTES
rapports.bilan.equilibre|Vérification équilibre
rapports.bilan.actifPassif|Actif — Passif
rapports.bilan.simplified|(bilan simplifié — hors immobilisations)
rapports.flux.subtitle|Flux de trésorerie — Exercice {annee}
rapports.flux.soldeOuv|Solde ouverture
rapports.flux.variation|Variation nette
rapports.flux.soldeClo|Solde clôture
rapports.flux.exploitation|FLUX D\
rapports.flux.encaissements|Encaissements clients
rapports.flux.decaisseFourn|Décaissements fournisseurs
rapports.flux.decaisseRH|Décaissements salaires & CNSS
rapports.flux.decaisseDiv|Décaissements charges diverses
rapports.flux.netExploitation|FLUX NET D\
rapports.flux.investTitle|FLUX D\
rapports.flux.finTitle|FLUX DE FINANCEMENT
rapports.flux.nonSuivi|Non suivi dans cet exercice
rapports.tva.subtitle|Rapport TVA Congo DRC — Exercice {annee}
rapports.tva.collected|TVA COLLECTÉE — Sur factures
rapports.tva.baseHT|Base imposable HT
rapports.tva.tva18|TVA 18% collectée
rapports.tva.ca5|Contribution d\
rapports.tva.totalReverser|TOTAL TVA + CA À REVERSER
rapports.tva.collectedResto|TVA COLLECTÉE — CA Restaurant
rapports.tva.caTtcResto|CA TTC restaurant
rapports.tva.caHtBase|CA HT (base imposable)
rapports.tva.totalResto|TOTAL TVA RESTO À REVERSER
rapports.tva.dgiTitle|Déclaration DGI — {annee}
rapports.tva.ventes|TVA collectée sur ventes
rapports.tva.deductible|TVA déductible sur achats
rapports.tva.nette|TVA nette à reverser
rapports.tva.contribution|Contribution d\
rapports.tva.totalDgi|TOTAL À PAYER À LA DGI
rapports.miaa.title|Analyse MIAA+
rapports.miaa.powered|Powered by Claude · {entreprise} · {annee}
rapports.miaa.generate|Générer
rapports.miaa.regenerate|Régénérer
rapports.miaa.analyzing|MIAA+ rédige votre analyse financière complète…
